1196442,16447
1250529,-1217
1315678,-1217
1341784,-1217
1367925,-1217
1394091,-1217
1420228,-1217
1446402,-1217
1472569,-1217
1498754,-1217
1562694,-1217
1589142,-1217
1629974,-1217
1656098,-1217
1682217,-1217
1708440,0
1734585,-1217
1760732,-1217
1824030,-1217
1852821,-1217
1879006,-1217
1905151,-1217
1931330,-1217
1957501,-1217
1983678,-1217
2009854,-1217
2073115,-1217
2115142,-1217
2141253,-1217
2167370,-1217
2219880,-1217
2246822,-1217
2272944,-1217
2299146,-1217
2361702,-1217
2389615,-1217
2415845,-1217
2444694,-1217
2470902,-1217
2497115,-1217
2538655,-1217
2567350,-1217
2629014,-1217
2658676,-1217
2684850,-1217
2711098,-1217
2737253,-1217
2763464,0
2789716,-1217
2816014,-1217
2842249,-1217
2906909,-1217
2933089,-1217
2959333,-1217
2999239,-1217
3026571,-1217
3052751,-1217
3078953,-1217
3105125,-1217
3170861,-1217
3209582,-1217
3235751,-1217
3261988,-1217
3288180,-1217
3314457,0
3340689,-1217
